resume_id,jd_id,job_category,resume_text,jd_text,human_label
R31,J31,ML Engineer,"Machine learning engineer with Python scikit-learn TensorFlow pandas and model deployment","Looking for ML engineer with Python TensorFlow scikit-learn model training and deployment",2
R32,J32,ML Engineer,"Data scientist with Python R statistics machine learning and Jupyter notebooks","Seeking ML engineer with deep learning PyTorch CNN NLP and production model deployment",1
R33,J33,ML Engineer,"ML engineer with PyTorch NLP transformers BERT and model fine-tuning experience","Need ML engineer with PyTorch NLP transformers and deep learning model deployment",2
R34,J34,ML Engineer,"Python developer with basic pandas and one ML project using linear regression","Looking for senior ML engineer with deep learning distributed training and MLOps experience",0
R35,J35,ML Engineer,"Computer vision engineer with OpenCV YOLO TensorFlow and image classification","Hiring ML engineer with computer vision TensorFlow object detection and model optimization",2
R36,J36,ML Engineer,"NLP researcher with BERT GPT transformers text classification and named entity recognition","Seeking ML engineer with NLP deep learning transformers and production API deployment",2
R37,J37,ML Engineer,"Software engineer with Python Git REST APIs but no machine learning experience","Need ML engineer with TensorFlow PyTorch deep learning feature engineering and MLOps",0
R38,J38,ML Engineer,"ML engineer with scikit-learn XGBoost feature engineering and model evaluation","Looking for ML engineer with Python scikit-learn model training evaluation and deployment",2
R39,J39,ML Engineer,"Data analyst with Python pandas matplotlib and basic scikit-learn knowledge","Hiring ML engineer with deep learning PyTorch GPU training and production deployment",1
R40,J40,ML Engineer,"ML engineer with TensorFlow Keras CNN LSTM and time series forecasting experience","Seeking ML engineer with Python TensorFlow deep learning and time series modeling",2
R41,J41,Frontend Developer,"React developer with JavaScript TypeScript Redux CSS and responsive design experience","Looking for frontend developer with React TypeScript Redux and modern CSS skills",2
R42,J42,Frontend Developer,"Backend developer with Node.js Express MongoDB and REST APIs","Hiring frontend developer with React JavaScript HTML CSS and UI/UX implementation",0
R43,J43,Frontend Developer,"Frontend developer with Vue.js JavaScript CSS HTML and REST API integration","Need frontend developer with React or Vue JavaScript CSS and API consumption skills",2
R44,J44,Frontend Developer,"React developer with basic JavaScript and HTML CSS from online course","Looking for senior React developer with TypeScript Redux performance optimization and testing",1
R45,J45,Frontend Developer,"UI developer with React JavaScript Tailwind CSS Figma and accessibility experience","Seeking frontend engineer with React JavaScript CSS design systems and responsive UI",2
R46,J46,Frontend Developer,"Angular developer with TypeScript RxJS NgRx and enterprise application experience","Need frontend developer with React JavaScript component architecture and state management",1
R47,J47,Frontend Developer,"Graphic designer with Figma Photoshop and basic HTML CSS knowledge","Hiring frontend developer with React TypeScript JavaScript REST APIs and unit testing",0
R48,J48,Frontend Developer,"Frontend developer with React Next.js JavaScript REST APIs and performance optimization","Looking for frontend developer with React Next.js SEO performance and API integration",2
R49,J49,Frontend Developer,"Full stack developer with React Node.js MongoDB and deployment experience","Seeking frontend developer with React JavaScript CSS and cross-browser compatibility",2
R50,J50,Frontend Developer,"React developer with JavaScript Redux REST API and basic testing with Jest","Hiring frontend developer with React TypeScript testing CI/CD and accessibility skills",1
